Month,usg_apt,fg_apt,carrier,type,Scheduled
2,JFK,LHR,BA,Passengers,80736
2,JFK,LHR,VS,Passengers,61293
2,LAX,LGW,DI,Passengers,16006
2,LAX,PPT,TN,Passengers,15946
2,JFK,CUN,B6,Passengers,15941
2,MIA,PAP,AA,Passengers,15941
2,OGG,YVR,WS,Passengers,15924
2,SFO,MEX,AM,Passengers,15756
2,CLT,LHR,AA,Passengers,15745
2,LAS,YYZ,WS,Passengers,15729
2,EWR,BOM,UA,Passengers,15702
2,IAH,BZE,UA,Passengers,15593
2,ATL,AMS,KL,Passengers,15585
2,DFW,SYD,QF,Passengers,15581
2,ORD,DEL,AI,Passengers,15559
2,EWR,FRA,LH,Passengers,15454
2,JFK,ICN,OZ,Passengers,15436
2,OGG,YVR,AC,Passengers,15430
2,IAH,SJD,UA,Passengers,15405
2,LAX,BNE,QF,Passengers,15394
2,CLT,GCM,AA,Passengers,15297
2,DFW,YVR,AA,Passengers,15275
2,ORD,DOH,QR,Passengers,15265
2,IAD,PTY,CM,Passengers,15238
2,LAX,LHR,NZ,Passengers,15227
2,BOS,DXB,EK,Passengers,15224
2,SFO,PEK,UA,Passengers,15199
2,JFK,ZRH,LX,Passengers,15156
2,SFO,PVG,MU,Passengers,15145
2,JFK,GRU,JJ,Passengers,15069
2,SFO,NRT,UA,Passengers,15048
2,JFK,LIM,LA,Passengers,15040
2,ATL,DOH,QR,Passengers,15013
2,DFW,DXB,EK,Passengers,15004
2,IAH,LHR,UA,Passengers,14999
2,JFK,BGI,B6,Passengers,14935
2,EWR,BOM,AI,Passengers,14919
2,BWI,MBJ,WN,Passengers,14895
2,SFO,CDG,AF,Passengers,14874
2,LAX,SAL,TA,Passengers,14859
2,FLL,LGW,DI,Passengers,14854
2,LAX,YYC,WS,Passengers,14846
2,SFO,FRA,LH,Passengers,14789
2,SFO,DEL,AI,Passengers,14752
2,IAD,ADD,ET,Passengers,14750
2,LAX,YUL,AC,Passengers,14741
2,SEA,LHR,BA,Passengers,14733
2,FLL,KIN,B6,Passengers,14698
2,SFO,ZRH,LX,Passengers,14686
2,LAX,ZRH,LX,Passengers,14676
2,MIA,EZE,4M,Passengers,14673
2,JFK,MXP,EK,Passengers,14665
2,EWR,SDQ,UA,Passengers,14658
2,BWI,CUN,WN,Passengers,14655
2,PHL,CUN,AA,Passengers,14646
2,PHX,LHR,BA,Passengers,14604
2,ATL,ICN,DL,Passengers,14576
2,SFO,AMS,KL,Passengers,14564
2,SEA,SJD,AS,Passengers,14543
2,SFO,SIN,SQ,Passengers,14519
2,PBI,YYZ,AC,Passengers,14514
2,BOS,LGW,DI,Passengers,14498
2,ORD,AUH,EY,Passengers,14491
2,MCO,LGW,BA,Passengers,14459
2,LAX,HND,AA,Passengers,14415
2,JFK,POS,BW,Passengers,14376
2,LAX,HND,DL,Passengers,14368
2,DEN,FRA,LH,Passengers,14365
2,BOS,DUB,EI,Passengers,14346
2,MIA,LHR,AA,Passengers,14342
2,PHL,LHR,AA,Passengers,14335
2,DFW,SCL,AA,Passengers,14290
2,SFO,HKG,UA,Passengers,14269
2,ORD,LHR,UA,Passengers,14263
2,MSP,CUN,SY,Passengers,14120
2,JFK,SCL,LA,Passengers,14213
2,ATL,NRT,DL,Passengers,14196
2,SFO,TPE,UA,Passengers,14181
2,HNL,NRT,HA,Passengers,14156
2,ORD,DUB,EI,Passengers,14133
2,PHX,PVR,AA,Passengers,14123
2,JFK,CAI,MS,Passengers,14116
2,IAH,EZE,UA,Passengers,14095
2,MIA,MEX,AM,Passengers,14080
2,LAX,SYD,VA,Passengers,13869
2,SFO,PTY,CM,Passengers,14021
2,IAD,CDG,AF,Passengers,13995
2,LAX,AMS,KL,Passengers,13923
2,LAX,AKL,AA,Passengers,13905
2,HNL,NRT,KE,Passengers,13905
2,SEA,AMS,DL,Passengers,13865
2,IAH,TPE,BR,Passengers,13857
2,HNL,KIX,HA,Passengers,13855
2,IAH,YYC,UA,Passengers,13846
2,LAX,SYD,DL,Passengers,13827
